threshold,silhouette,dbi,n_groups,n_singletons,sil_norm,dbi_norm,score
0.860000,0.774762,0.252750,66,63,0.995476,0.911307,1.906783
0.880000,0.774762,0.252750,66,63,0.995476,0.911307,1.906783
0.840000,0.777264,0.274400,65,62,1.000000,0.878030,1.878030
0.820000,0.750777,0.294277,64,60,0.952110,0.847479,1.799588
0.780000,0.722499,0.324054,63,58,0.900984,0.801712,1.702696
0.800000,0.722499,0.324054,63,58,0.900984,0.801712,1.702696
0.760000,0.614008,0.388426,61,55,0.704827,0.702771,1.407598
0.740000,0.582794,0.438829,59,52,0.648392,0.625302,1.273693
0.720000,0.483001,0.456589,59,51,0.467962,0.598004,1.065966
0.900000,,0.195045,68,67,,1.000000,1.000000
0.700000,0.389392,0.580080,54,42,0.298714,0.408196,0.706910
0.680000,0.349581,0.655800,51,39,0.226733,0.291814,0.518547
0.660000,0.276841,0.714799,50,39,0.095217,0.201132,0.296349
0.640000,0.268328,0.733578,48,38,0.079826,0.172268,0.252094
0.620000,0.258054,0.758677,46,35,0.061249,0.133691,0.194940
0.600000,0.224178,0.845658,40,29,0.000000,0.000000,0.000000
