threshold,silhouette,dbi,n_groups,n_singletons,sil_norm,dbi_norm,score
0.700000,0.657670,0.370242,20,18,1.000000,0.828480,1.828480
0.720000,0.657670,0.370242,20,18,1.000000,0.828480,1.828480
0.740000,0.657670,0.370242,20,18,1.000000,0.828480,1.828480
0.760000,0.657670,0.370242,20,18,1.000000,0.828480,1.828480
0.660000,0.485983,0.467696,19,16,0.575623,0.647393,1.223016
0.680000,0.485983,0.467696,19,16,0.575623,0.647393,1.223016
0.780000,,0.277935,21,20,,1.000000,1.000000
0.800000,,0.277935,21,20,,1.000000,1.000000
0.820000,,0.277935,21,20,,1.000000,1.000000
0.840000,,0.277935,21,20,,1.000000,1.000000
0.640000,0.361899,0.595836,17,13,0.268913,0.409288,0.678201
0.620000,0.302275,0.664868,16,12,0.121534,0.281016,0.402550
0.600000,0.253106,0.816101,13,9,0.000000,0.000000,0.000000
0.860000,,,22,22,,,0.000000
0.880000,,,22,22,,,0.000000
0.900000,,,22,22,,,0.000000
