cluster_id,size
-1,1201
Pro-Energy_18,193
Pro-Energy_20,95
Pro-Energy_33,89
Pro-Energy_8,88
Pro-Energy_52,86
Pro-Energy_22,85
Pro-Energy_26,82
Pro-Energy_10,79
Pro-Energy_61,73
Pro-Energy_40,70
Pro-Energy_51,62
Pro-Energy_39,57
Pro-Energy_15,56
Pro-Energy_1,52
Pro-Energy_5,47
Pro-Energy_47,46
Pro-Energy_38,44
Pro-Energy_59,43
Pro-Energy_29,42
Pro-Energy_50,42
Pro-Energy_54,38
Pro-Energy_42,38
Pro-Energy_35,37
Pro-Energy_43,36
Pro-Energy_6,35
Pro-Energy_0,34
Pro-Energy_56,33
Pro-Energy_58,33
Pro-Energy_60,33
Pro-Energy_36,33
Pro-Energy_19,32
Pro-Energy_37,30
Pro-Energy_27,30
Pro-Energy_16,29
Pro-Energy_46,27
Pro-Energy_31,26
Pro-Energy_11,26
Pro-Energy_28,26
Pro-Energy_2,25
Pro-Energy_34,22
Pro-Energy_32,22
Pro-Energy_9,21
Pro-Energy_3,21
Pro-Energy_25,20
Pro-Energy_7,20
Pro-Energy_53,19
Pro-Energy_49,18
Pro-Energy_23,18
Pro-Energy_14,17
Pro-Energy_21,17
Pro-Energy_17,17
Pro-Energy_45,16
Pro-Energy_13,16
Pro-Energy_4,15
Pro-Energy_12,15
Pro-Energy_41,15
Pro-Energy_30,15
Pro-Energy_57,15
Pro-Energy_48,15
Pro-Energy_55,15
Pro-Energy_44,15
Pro-Energy_24,15
